date,type,locale,locale_name
2013-01-01,Holiday,National,Ecuador
2013-02-11,Holiday,National,Ecuador
2013-02-12,Holiday,National,Ecuador
2013-03-02,Holiday,Local,Manta
2013-04-01,Holiday,Regional,Cotopaxi
2013-04-12,Holiday,Local,Cuenca
2013-04-14,Holiday,Local,Libertad
2013-04-21,Holiday,Local,Riobamba
2013-04-29,Holiday,National,Ecuador
2013-05-01,Holiday,National,Ecuador
2013-05-11,Holiday,National,Ecuador
2013-05-12,Holiday,Local,Puyo
2013-05-12,Event,National,Ecuador
2013-05-24,Holiday,National,Ecuador
2013-06-23,Holiday,Local,Guaranda
2013-06-25,Holiday,Regional,Imbabura
2013-06-25,Holiday,Local,Machala
2013-06-25,Holiday,Local,Latacunga
2013-07-03,Holiday,Local,El Carmen
2013-07-03,Holiday,Local,Santo Domingo
2013-07-23,Holiday,Local,Cayambe
2013-07-24,Holiday,Local,Guayaquil
2013-07-25,Holiday,Local,Guayaquil
2013-08-05,Holiday,Local,Esmeraldas
2013-08-10,Holiday,National,Ecuador
2013-08-15,Holiday,Local,Riobamba
2013-08-24,Holiday,Local,Ambato
2013-09-28,Holiday,Local,Ibarra
2013-10-07,Holiday,Local,Quevedo
2013-10-11,Holiday,National,Ecuador
2013-11-02,Holiday,National,Ecuador
2013-11-03,Holiday,National,Ecuador
2013-11-06,Holiday,Regional,Santo Domingo de los Tsachilas
2013-11-07,Holiday,Regional,Santa Elena
2013-11-10,Holiday,Local,Guaranda
2013-11-11,Holiday,Local,Latacunga
2013-11-12,Holiday,Local,Ambato
2013-12-05,Holiday,Local,Quito
2013-12-06,Holiday,Local,Quito
2013-12-08,Holiday,Local,Loja
2013-12-21,Holiday,National,Ecuador
2013-12-22,Holiday,National,Ecuador
2013-12-22,Holiday,Local,Salinas
2013-12-23,Holiday,National,Ecuador
2013-12-24,Holiday,National,Ecuador
2013-12-25,Holiday,National,Ecuador
2013-12-26,Holiday,National,Ecuador
2013-12-31,Holiday,National,Ecuador
2014-01-01,Holiday,National,Ecuador
2014-03-02,Holiday,Local,Manta
2014-03-03,Holiday,National,Ecuador
2014-03-04,Holiday,National,Ecuador
2014-04-01,Holiday,Regional,Cotopaxi
2014-04-12,Holiday,Local,Cuenca
2014-04-14,Holiday,Local,Libertad
2014-04-18,Holiday,National,Ecuador
